"Taxonomy","Domain","Phylum","Class","Order","Family","Genus","Habitat","Freq","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Bacteria; Actinomycetota; Actinomycetes; S36-B12; CAIYMF01; Prado023","Bacteria","Actinomycetota","Actinomycetes","S36-B12","CAIYMF01","Prado023","freshwater sediment",100,0.549676439870379,0.00347135635939374,0.450248158525184,0.616224699130596,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Usitatibacteraceae; FEB-7","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Usitatibacteraceae","FEB-7","freshwater sediment",100,0.549021322612319,0.00218166942104662,0.498201895023622,0.593605234022425,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota_E; Deferrimicrobia; Deferrimicrobiales; Deferrimicrobiaceae; Deferrimicrobium","Bacteria","Desulfobacterota_E","Deferrimicrobia","Deferrimicrobiales","Deferrimicrobiaceae","Deferrimicrobium","freshwater sediment",100,0.546290736141632,0.00307721098463027,0.45605128233803,0.621604538097453,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Planctomycetota; Planctomycetia; Pirellulales; Pirellulaceae; JAAYDI01","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","JAAYDI01","freshwater sediment",100,0.54563376853241,0.00216693085994983,0.496005549743492,0.594265379267688,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA3254; DATIKD01","Bacteria","Chloroflexota","Dehalococcoidia","Dehalococcoidales","UBA3254","DATIKD01","freshwater sediment",100,0.545378796907007,0.00185231063714221,0.491411817085997,0.593392702171083,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Actinomycetes; JAHEKZ01; JAHEKZ01; JAHEKZ01","Bacteria","Actinomycetota","Actinomycetes","JAHEKZ01","JAHEKZ01","JAHEKZ01","freshwater sediment",100,0.544547195120655,0.00240416181673195,0.464794315019301,0.589295492199726,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Anaerolineales; Villigracilaceae; UBA5195","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Villigracilaceae","UBA5195","freshwater sediment",100,0.542473411146503,0.0040554164497942,0.45902679236299,0.621108825637825,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota_G; Syntrophorhabdia; Syntrophorhabdales; Syntrophorhabdaceae; Syntrophorhabdus","Bacteria","Desulfobacterota_G","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus","freshwater sediment",100,0.540585187979161,0.002894024877853,0.458418048180565,0.593706417048586,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Bacteroidota_A; UBA10030; UBA10030; UBA6906; JAGDMK01","Bacteria","Bacteroidota_A","UBA10030","UBA10030","UBA6906","JAGDMK01","freshwater sediment",100,0.537644632155761,0.00258172609306855,0.476999313072044,0.586559311303868,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA3254; UBA3254","Bacteria","Chloroflexota","Dehalococcoidia","Dehalococcoidales","UBA3254","UBA3254","freshwater sediment",100,0.536728219060878,0.00196894426727864,0.492110004061654,0.585451640349915,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Caldilineales; Caldilineaceae; Fredericiella","Bacteria","Chloroflexota","Anaerolineae","Caldilineales","Caldilineaceae","Fredericiella","freshwater sediment",100,0.534062627621834,0.00220424459201078,0.485470629250414,0.58042560914624,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
