"Taxonomy","Habitat","PercRunsInd","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Telmatobacter","soil",100,0.540808612491898,0.00381082317725899,0.442576880240539,0.628387165365696,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Gp7-AA8; Gp7-AA8; QHVT01","soil",100,0.630881680652255,0.00305435622633312,0.509250913490585,0.694646673200667,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Multivoradales; JAHEKO01; CALZIK01","marine sediment",100,0.517146603667525,0.00253213585220364,0.451448286690243,0.562403463230463,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Multivoradales; JAHEKO01; CALZJC01","marine sediment",100,0.522447053265647,0.00225883574762019,0.46187174972765,0.574416700187717,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Multivoradales; JAHEKO01; CAXMQZ01","marine sediment",100,0.623903055841403,0.00203635962508544,0.570322679674383,0.658390972740196,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Multivoradales; JAHEKO01; CBDCXS01","marine sediment",100,0.525767957938393,0.00246196801642114,0.463245605729909,0.569877729340435,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Multivoradales; JAHEKO01; JAUVRX01","marine sediment",100,0.597092763303767,0.00233934828133576,0.538577948765591,0.645403399527351,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Multivoradales; JAHEKO01; M0029","marine sediment",100,0.527291275769435,0.00296783763953283,0.457956549154221,0.579762820215194,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Multivoradales; UBA5704; DATARR01","soil",100,0.611329386714085,0.00296399467766417,0.539473140350865,0.685544430688654,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Thermoanaerobaculales; Sulfomarinibacteraceae; JAHECW01","marine sediment",100,0.587240624378959,0.00261102259468174,0.536560291640078,0.646146467399301,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Thermoanaerobaculia; Thermoanaerobaculales; Sulfomarinibacteraceae; Sulfomarinibacter","marine sediment",100,0.711703432057481,0.00225944968955128,0.669777275692857,0.769382893452729,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; UBA6911; RPQK01; JAPXNP01; JAUWTT01","marine sediment",100,0.520398272469863,0.00320280326434655,0.468909134478649,0.592520835032643,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
